Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Get Battle Info, Move Forward, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Rotate Left Eighth, Get Battle Info, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Move Forward, Shoot, Get Battle Info, None, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Rotate Left Quarter, Rotate Left Eighth, Move Forward, None, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Get Battle Info, Get Battle Info (killed), Get Battle Info, None, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, None, killed, Move Forward, Shoot, None
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Rotate Left Quarter, Get Battle Info, killed, Get Battle Info, None, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, None, killed, Move Forward, Rotate Right Eighth, None
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Move Forward, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, None, killed, Move Forward, Get Battle Info, None
Get Battle Info, Get Battle Info, killed, Get Battle Info, Rotate Left Eighth, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Rotate Left Eighth, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, None, killed, None, Move Forward, None
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Rotate Left Eighth, Get Battle Info
Get Battle Info, None, killed, Move Forward, Get Battle Info, None
Get Battle Info, Get Battle Info, killed, Get Battle Info, Rotate Left Eighth, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Shoot, killed, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, killed, Get Battle Info (killed), Get Battle Info, Get Battle Info
Get Battle Info, None, killed, killed, None, None
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Move Forward, killed, killed, Shoot, Get Battle Info
